CLP HOLDINGS,75.350,75.55,-0.264725347452%
HANG LUNG GROUP,27.000,26.10,3.44827586207%
SWIRE PACIFIC A,73.550,71.85,2.36604036187%
BANK OF E ASIA,31.650,30.60,3.43137254902%
CHINA MOTOR BUS,99.000,96.53,2.55879001347%
NE ELECTRIC,1.290,1.26,2.38095238095%
HAECO,47.250,46.50,1.61290322581%
COMPUTER & TECH,2.770,2.658,4.21369450715%
HK FERRY (HOLD),8.810,8.65,1.84971098266%
TRANSPORT INT'L,23.250,22.30,4.2600896861%
GET NICE,0.270,0.265,1.88679245283%
MIRAMAR HOTEL,15.400,15.36,0.260416666667%
AMS TRANSPORT,1.330,1.29,3.1007751938%
CENTURY LEGEND,0.650,0.63,3.1746031746%
CNEWECON FUND,0.114,0.109,4.5871559633%
SUN HUNG KAI CO,5.000,4.81,3.9501039501%
HENDERSON INV,0.660,0.64,3.125%
GOODRESOURCES,0.300,0.30,0.0%
HERALD HOLD,1.120,1.08,3.7037037037%
CROCODILE,0.840,0.81,3.7037037037%
CCT FORTIS,0.950,0.91,4.3956043956%
FIRST PACIFIC,5.300,5.19,2.11946050096%
CHINA MER PORT,17.940,17.60,1.93181818182%
NEWTIMES ENERGY,0.194,0.188,3.1914893617%
SUNWAH KINGSWAY,0.103,0.10,3.0%
ELIFE HLDGS,0.107,0.125,-14.4%
LIPPO,4.550,4.43,2.70880361174%
FIRST SHANGHAI,0.920,0.88,4.54545454545%
SAN MIGUEL HK,1.150,1.11,3.6036036036%
SAFETY GODOWN,17.380,17.28,0.578703703704%
PAK FAH YEOW,3.340,3.24,3.08641975309%
CN MINSHENG FIN,0.244,0.24,1.66666666667%
CCT LAND,0.010,0.01,0.0%
CITIC,10.900,10.66,2.25140712946%
MASTER GLORY GP,0.091,0.088,3.40909090909%
MONGOLIA ENERGY,0.188,0.18,4.44444444444%
KING FOOK HOLD,0.435,0.415,4.81927710843%
EMPEROR E HOTEL,1.700,1.64,3.65853658537%
KUNMING MACHINE,2.490,2.45,1.63265306122%
LUEN THAI,0.970,0.96,1.04166666667%
SMARTONE TELE,8.530,8.48,0.589622641509%
COMEC,10.580,10.12,4.54545454545%
ALCO HOLDINGS,1.540,1.50,2.66666666667%
CAFE DE CORAL H,19.980,19.86,0.604229607251%
YANCHANG PETRO,0.100,0.098,2.04081632653%
SHANGHAI IND H,21.300,20.55,3.6496350365%
CHINA RAILWAY,5.550,5.48,1.27737226277%
GLORIOUS SUN,0.900,0.86,4.6511627907%
STARLITE HOLD,0.520,0.51,1.96078431373%
HSIN CHONG GP,0.350,0.345,1.44927536232%
VMEP HOLDINGS,0.415,0.41,1.21951219512%
HKET HOLDINGS,1.440,1.40,2.85714285714%
DAH SING,48.900,47.05,3.93198724761%
SANDMARTIN INTL,0.110,0.106,3.77358490566%
PYI CORP,0.152,0.148,2.7027027027%
TVB,25.000,24.65,1.41987829615%
TC ORI LIGHT,0.135,0.13,3.84615384615%
RUIFENG RENEW,0.650,0.63,3.1746031746%
